unit,control_area,station
R383,N130,HUDSON-80 ST
R383,N131,HUDSON-80 ST
R134,R507,HUNTERS PT AV
R146,R412,HUNTS POINT AV
R407,R316,INTERVALE-163
R405,R312,JACKSON AV
R025,N606,JAMAICA CENTER
R025,N607,JAMAICA CENTER
R342,N604,JAMAICA-VAN WYC
R127,N102,JAY ST-BOROUGH
R127,N103,JAY ST-BOROUGH
R279,H022,JEFFERSON ST
R535,JFK01,JFK HOWARD BCH
R535,JFK02,JFK HOWARD BCH
R536,JFK03,JFK JAMAICA CT1
R537,JFK04,JFK JAMAICA CT2
R552,PTH03,JOURNAL SQUARE
R097,R528,JUNCTION BLVD
R066,R630,JUNIUS ST
R395,D012,KINGS HIGHWAY
R130,N557,KINGS HIGHWAY
R130,N558,KINGS HIGHWAY
R211,B023,KINGS HWY
R211,B024,KINGS HWY
R211,B024A,KINGS HWY
R155,N220,KINGSBRIDGE RD
R155,N221,KINGSBRIDGE RD
R161,R290,KINGSBRIDGE RD
R124,R624,KINGSTON AV
R199,N118,KINGSTON-THROOP
R199,N119,KINGSTON-THROOP
R413,K019,KNICKERBOCKER
R379,J012,KOSCIUSKO ST
R550,PTH16,LACKAWANNA
R283,N110,LAFAYETTE AV
R089,C003,LAWRENCE ST
R089,C004,LAWRENCE ST
R356,N141,LEFFERTS BLVD
R319,N601,LEXINGTON AV
R051,A002,LEXINGTON AVE
R017,N305,LEXINGTON-3RD
R016,N305A,LEXINGTON-3RD
R017,N306,LEXINGTON-3RD
R440,N125,LIBERTY AV
R350,H038,LIVONIA AV
R450,R410,LONGWOOD AV
R450,R411,LONGWOOD AV
R268,H012,LORIMER ST
R353,J005,LORIMER ST
R055,R533,MAIN ST
R055,R534,MAIN ST
R460,J001,MARCY AV
R460,J002,MARCY AV
R100,K026,METROPOLITAN AV
R268,N409,METROPOLITAN AV
R427,R421,MIDDLETOWN RD
R265,H017,MONTROSE AV
R294,H019,MORGAN AV
R329,R726,MORRIS PARK
R133,R293,MOSHOLU PKY
R308,R285,MT EDEN AV
R087,A047,MURRAY ST-B'WAY
R137,H026,MYRTLE AV
R137,H027,MYRTLE AV
R378,J009,MYRTLE AV
R286,N415,MYRTLE-WILLOUGH
R286,N416,MYRTLE-WILLOUGH
R256,N408A,NASSAU AV
R230,B026,NECK RD
R426,N562,NEPTUNE AV
R056,R608,NEVINS ST
R056,R609,NEVINS ST
R375,H039,NEW LOTS AV
R069,R634,NEW LOTS AVE
R398,D005,NEW UTRECHT AV
R398,D006,NEW UTRECHT AV
R549,PTH18,NEWARK BM BW
R549,PTH19,NEWARK C
R549,PTH20,NEWARK HM HE
R549,PTH01,NEWARK HW BMEBE
R149,B019,NEWKIRK AV
R135,R643,NEWKIRK AV
R135,R644,NEWKIRK AV
R298,N318,NORTHERN BLVD
R298,N319,NORTHERN BLVD
R436,J023,NORWOOD AV
R198,N116,NOSTRAND AV
R198,N117,NOSTRAND AV
R061,R623,NOSTRAND AVE
R264,B032,OCEAN PKWY
R264,B034,OCEAN PKWY
R459,OB01,ORCHARD BEACH
R354,N137,OXFORD-104 ST
R057,C009,PACIFIC ST
R411,B009,PARK PL
R029,R115,PARK PLACE
R148,B014,PARKSIDE AV
R114,N339,PARSONS BLVD
R114,N339A,PARSONS BLVD
R540,PTH08,PATH WTC
R540,PTH21,PATH WTC 2
R546,PTH06,PAVONIA/NEWPORT
R429,R423,PELHAM BAY PARK
R361,R327,PELHAM PKY
R361,R328,PELHAM PKY
R430,R727,PELHAM PKY
R067,R632,PENNSYLVANIA AV
R417,N185,PLAYLAND-B 98
R277,R635,PRESIDENT ST
R086,A041,PRINCE ST-B'WAY
R086,A042,PRINCE ST-B'WAY
R246,C014,PROSPECT AV
